code,region,country,year,month,imports_usd
70,Other countries,Bosnia and Herzegovina,1995,Apr,0
72,Other countries,Botswana,1995,Apr,0
76,Other countries,Brazil,1995,Apr,0
854,Other countries,Burkina Faso,1995,Apr,0
116,Other countries,Cambodia,1995,Apr,0
120,Other countries,Cameroon,1995,Apr,0
124,Other countries,Canada,1995,Apr,0
136,Other countries,Cayman Islands,1995,Apr,0
140,Other countries,Central African Republic,1995,Apr,0
148,Other countries,Chad,1995,Apr,0
152,Other countries,Chile,1995,Apr,0
156,Other countries,China,1995,Apr,0
170,Other countries,Colombia,1995,Apr,0
178,Other countries,Congo,1995,Apr,0
188,Other countries,Costa Rica,1995,Apr,0
384,Other countries,Cote d'ivoire,1995,Apr,0
192,Other countries,Cuba,1995,Apr,0
262,Other countries,Djibouti,1995,Apr,0
212,Other countries,Dominica,1995,Apr,0
214,Other countries,Dominican Republic,1995,Apr,0
218,Other countries,Ecuador,1995,Apr,0
818,Other countries,Egypt,1995,Apr,0
222,Other countries,EL Salvador,1995,Apr,0
226,Other countries,Equatorial Guinea,1995,Apr,0
231,Other countries,Ethiopia,1995,Apr,0
258,Other countries,French Polynesia,1995,Apr,0
266,Other countries,Gabon,1995,Apr,0
270,Other countries,Gambia,1995,Apr,0
